group,label,variant,n,k,T,dist,range,knn_s,approx_s,kmeans_s,approx_mae_vs_knn,knn_mae_vs_seq,kmeans_mae_vs_seq
vary_k,k8,notiled,10000,8,20,uniform,10000,0.0852032,0.00746083,0.00573516,2.1660,N/A,N/A
vary_k,k16,notiled,10000,16,20,uniform,10000,0.0935152,0.00914693,0.00577593,0.2478,N/A,N/A
vary_k,k32,notiled,10000,32,20,uniform,10000,0.109104,0.0115671,0.00579381,0.1774,N/A,N/A
vary_k,k64,notiled,10000,64,20,uniform,10000,0.151897,0.019659,0.00607109,0.1579,N/A,N/A
vary_k,k128,notiled,10000,128,20,uniform,10000,0.245153,0.0380681,0.00647688,0.1490,N/A,N/A
vary_T,T1,notiled,10000,32,1,uniform,10000,0.109165,0.0116251,0.00420499,0.1774,N/A,N/A
vary_T,T5,notiled,10000,32,5,uniform,10000,0.109498,0.012006,0.00474715,0.1774,N/A,N/A
vary_T,T10,notiled,10000,32,10,uniform,10000,0.109294,0.012697,0.00515294,0.1774,N/A,N/A
vary_T,T20,notiled,10000,32,20,uniform,10000,0.109718,0.0117049,0.00616193,0.1774,N/A,N/A
vary_T,T50,notiled,10000,32,50,uniform,10000,0.108072,0.0117681,0.00799417,0.1774,N/A,N/A
dist,uniform,notiled,10000,32,20,uniform,10000,0.108726,0.0116739,0.00594497,0.1774,N/A,N/A
dist,dense,notiled,10000,32,20,dense,10000,0.108764,0.0115912,0.00558901,0.1694,N/A,N/A
dist,clustered,notiled,10000,32,20,clustered,10000,0.110146,0.0207961,0.00595307,0.0000,N/A,N/A
dist,skewed,notiled,10000,32,20,skewed,10000,0.115849,0.0484312,0.0059731,0.1548,N/A,N/A
correctness,k1_uniform,notiled,1000,1,20,uniform,10000,0.074265,0.00332308,0.00172305,0.0000,0.0000,0.0000
correctness,k10_uniform,notiled,1000,10,20,uniform,10000,0.0769532,0.00543118,0.00275803,0.7770,0.0000,1.0420
correctness,k32_uniform,notiled,1000,32,20,uniform,10000,0.079253,0.00599718,0.00256109,0.2490,0.0000,0.0000
correctness,k64_uniform,notiled,1000,64,20,uniform,10000,0.083411,0.00866199,0.00253582,0.2660,0.0000,1.9870
correctness,k128_uniform,notiled,1000,128,20,uniform,10000,0.085201,0.014328,0.00273609,0.3110,0.0000,0.0000
correctness,k32_dense,notiled,1000,32,20,dense,10000,0.0811241,0.00659108,0.00289106,0.3280,0.0000,1.6600
correctness,k32_clustered,notiled,1000,32,20,clustered,10000,0.0792391,0.00633597,0.00266695,0.0000,0.0000,0.0000
correctness,k32_skewed,notiled,1000,32,20,skewed,10000,0.0798979,0.0115938,0.00310898,0.1110,0.0000,5.0810
large,n100k_k128_T50,notiled,100000,128,50,uniform,10000,4.00342,0.577451,0.050029,0.0555,N/A,N/A
large,n100k_k32_uniform,notiled,100000,32,20,uniform,10000,0.957509,0.141639,0.036129,0.0566,N/A,N/A
large,n100k_k32_dense,notiled,100000,32,20,dense,10000,0.965795,0.140216,0.035521,0.0622,N/A,N/A
large,n100k_k32_clustered,notiled,100000,32,20,clustered,10000,0.968943,0.424131,0.0369799,0.0007,N/A,N/A
vary_range,R100,notiled,10000,32,20,uniform,100,0.110732,0.0118501,0.00616407,0.2679,N/A,N/A
vary_range,R1000,notiled,10000,32,20,uniform,1000,0.109452,0.011322,0.00559402,0.1694,N/A,N/A
vary_range,R10000,notiled,10000,32,20,uniform,10000,0.109242,0.011636,0.00567889,0.1774,N/A,N/A
vary_range,R100000,notiled,10000,32,20,uniform,100000,0.109768,0.012265,0.00602984,0.1713,N/A,N/A
vary_range,R1000000,notiled,10000,32,20,uniform,1000000,0.108978,0.011956,0.00610995,0.1583,N/A,N/A
